"comm_fkt","CSB","tot_consult","perc_consult"
"AMBOHIMANGA DU SUD_VOHITRARIVO","AMBODIMANGA NORD",37,0.902439024390244
"AMBOHIMANGA DU SUD_VOHITRARIVO","AMBOHIMANGA DU SUD",2,0.0487804878048781
"AMBOHIMANGA DU SUD_VOHITRARIVO","ANTARETRA",1,0.024390243902439
"AMBOHIMANGA DU SUD_VOHITRARIVO","IFANADIANA",1,0.024390243902439
"AMBOHIMIERA_AMBINANITOMAROSANA","AMBOHIMANGA DU SUD",3,0.0230769230769231
"AMBOHIMIERA_AMBINANITOMAROSANA","IFANADIANA",1,0.00769230769230769
"AMBOHIMIERA_AMBINANITOMAROSANA","MAROMANANA",126,0.969230769230769
"AMBOHIMIERA_AMBODIMANGA","AMBOHIMIERA",3,1
"AMBOHIMIERA_AMBOHIDAZA","AMBOHIMIERA",4,1
"AMBOHIMIERA_AMBOHIMAHATSINJO","AMBOHIMANGA DU SUD",2,0.0212765957446809
"AMBOHIMIERA_AMBOHIMAHATSINJO","AMBOHIMIERA",25,0.265957446808511
"AMBOHIMIERA_AMBOHIMAHATSINJO","ANALAMARINA",1,0.0106382978723404
"AMBOHIMIERA_AMBOHIMAHATSINJO","MAROMANANA",63,0.670212765957447
"AMBOHIMIERA_AMBOHIMAHATSINJO","TSARATANANA",3,0.0319148936170213
"AMBOHIMIERA_AMBOHIMAHAVELONA","AMBOHIMIERA",1,0.0135135135135135
"AMBOHIMIERA_AMBOHIMAHAVELONA","MAROMANANA",73,0.986486486486487
"AMBOHIMIERA_AMBOHIMIERA","AMBOHIMANGA DU SUD",3,0.000973393900064893
"AMBOHIMIERA_AMBOHIMIERA","AMBOHIMIERA",2959,0.960090850097339
"AMBOHIMIERA_AMBOHIMIERA","ANALAMARINA",4,0.00129785853341986
"AMBOHIMIERA_AMBOHIMIERA","IFANADIANA",58,0.0188189487345879
"AMBOHIMIERA_AMBOHIMIERA","KELILALINA",1,0.000324464633354964
"AMBOHIMIERA_AMBOHIMIERA","MAROMANANA",4,0.00129785853341986
"AMBOHIMIERA_AMBOHIMIERA","RANOMAFANA",5,0.00162232316677482
"AMBOHIMIERA_AMBOHIMIERA","TSARATANANA",48,0.0155743024010383
"AMBOHIMIERA_AMBOHIMILANJA","AMBOHIMIERA",172,0.977272727272727
"AMBOHIMIERA_AMBOHIMILANJA","ANALAMARINA",2,0.0113636363636364
"AMBOHIMIERA_AMBOHIMILANJA","TSARATANANA",2,0.0113636363636364
"AMBOHIMIERA_AMBOLO","MAROMANANA",166,1
"AMBOHIMIERA_AMPANTSONA","AMBOHIMIERA",16,0.5
"AMBOHIMIERA_AMPANTSONA","ANTARETRA",11,0.34375
"AMBOHIMIERA_AMPANTSONA","IFANADIANA",5,0.15625
"AMBOHIMIERA_ANDEMAKA NORD","AMBOHIMIERA",544,0.990892531876138
"AMBOHIMIERA_ANDEMAKA NORD","ANALAMARINA",2,0.00364298724954463
"AMBOHIMIERA_ANDEMAKA NORD","TSARATANANA",3,0.00546448087431694
"AMBOHIMIERA_ANDRORANGAVOLA","AMBOHIMIERA",76,0.95
"AMBOHIMIERA_ANDRORANGAVOLA","MAROMANANA",3,0.0375
