CSB_dashboard,fokontany_dashboard,commune_std,fokontany_std,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5
CSB2 Kelilalina,Ambodipaiso Avaratra,KELILALINA,AMBODIPAISO NORD,,,0,1,0,0,1,0,0,0,7,18,2,6,10,11,3,0,0,12,1,1,2,0,16,3,0,0,17,1,6,1,0,0,5,1,1,2,6,0,2,0,0,0,0,3,4,2,34,15,0,1,1,0,0,0,3,3,4,16,15,0,0,,
CSB2 Kelilalina,Ambodipaiso Atsimo,KELILALINA,AMBODIPAISO SUD,,1,1,2,1,0,13,0,0,0,1,2,14,4,3,8,4,0,3,0,0,0,2,1,7,5,0,0,0,1,1,0,0,0,2,1,2,2,2,7,2,3,1,3,0,0,0,1,9,11,8,6,2,0,0,0,1,1,2,6,18,8,2,,
CSB2 Kelilalina,Ambodivoahangy,KELILALINA,AMBODIVOANGY,3,11,6,1,2,0,1,1,,0,2,7,17,11,4,21,3,0,1,0,0,0,6,6,24,8,0,0,15,1,3,1,0,0,1,7,31,14,17,11,6,8,4,0,1,0,13,5,44,0,8,29,2,0,1,0,0,3,9,20,23,0,0,,
CSB2 Kelilalina,Ambohinihaonana,KELILALINA,AMBOHINIHAONANA,10,9,12,,6,9,0,0,0,0,3,7,26,17,26,43,,9,3,0,0,0,14,10,29,0,0,0,11,7,13,4,5,5,9,7,28,18,12,22,8,5,1,0,1,9,14,18,50,5,0,0,0,0,0,0,4,0,11,25,16,0,0,,
CSB2 Kelilalina,Ampitabe,KELILALINA,AMPITAMBE,,1,1,2,1,6,6,11,5,,10,3,2,1,3,10,4,6,0,0,0,1,0,2,5,1,0,0,7,4,1,0,0,1,0,0,2,4,1,7,1,0,2,0,0,0,2,4,6,7,7,1,2,0,1,0,3,1,1,5,14,5,0,,
CSB2 Kelilalina,Andranomainty,KELILALINA,ANDRANOMAINTY,,,6,2,2,3,3,3,1,0,5,,5,9,17,20,,3,1,1,1,0,3,5,15,0,0,0,11,0,2,2,0,1,1,1,10,4,5,9,5,0,1,0,,2,2,8,38,3,20,9,0,0,0,0,0,1,4,11,23,0,2,,
CSB2 Kelilalina,Anosy,KELILALINA,ANOSY,25,15,9,6,5,5,3,2,,1,5,31,62,30,27,40,8,5,6,5,0,0,20,40,20,10,0,0,25,17,20,7,10,15,22,28,50,69,34,54,13,10,2,17,13,1,15,48,57,20,0,0,0,1,2,0,1,10,18,9,26,0,4,,
CSB2 Kelilalina,Fotsialanana,KELILALINA,FOTSIALANANA,,,,18,0,0,2,0,2,0,5,17,9,20,21,31,16,0,4,0,0,1,16,6,23,0,0,0,13,14,11,6,9,3,6,7,19,19,16,21,6,3,7,0,1,0,8,13,44,7,5,0,2,0,0,0,4,3,9,18,33,2,0,,
CSB2 Kelilalina,Kelilalina,KELILALINA,KELILALINA,,3,,,1,1,0,0,0,0,1,6,24,21,15,16,6,1,0,0,10,0,1,5,9,0,0,0,7,1,0,0,0,1,1,4,11,9,6,12,3,0,0,1,0,2,14,19,5,14,5,9,3,0,0,0,2,1,9,17,16,6,2,,
CSB2 Kelilalina,Kianjanomby,KELILALINA,KIANJANOMBY,2,3,4,4,1,0,0,0,0,1,1,0,8,13,15,8,,0,0,0,0,0,2,2,10,1,0,0,4,2,2,0,0,1,0,0,20,10,8,9,6,3,1,0,2,0,5,0,27,13,7,5,4,0,0,0,2,0,4,4,26,1,2,,
CSB2 Kelilalina,Mandrivany,KELILALINA,MANDRIVANY,,3,2,,0,3,1,1,,2,0,5,6,6,7,11,7,3,0,0,0,0,3,10,22,0,0,0,20,2,11,0,0,1,2,1,21,8,11,20,12,2,5,0,0,0,10,12,21,3,9,11,6,0,0,2,0,1,13,19,16,0,0,,
CSB2 Ranomafana,Ambatolahy,RANOMAFANA,AMBATOLAHY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,4,0,0,0,0,0,0,0,0,1,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,7,6,0,1,0,0,0,0,0,1,6,2,4,,
CSB2 Ranomafana,Ambodiaviavy,RANOMAFANA,AMBODIAVIAVY,9,3,15,4,7,3,43,2,1,0,1,0,5,9,11,12,3,3,5,0,1,0,4,2,14,2,0,0,0,2,2,1,1,1,1,3,14,16,1,5,1,0,5,1,0,1,3,8,42,44,6,6,0,0,0,0,2,2,14,15,28,13,1,,
CSB2 Ranomafana,Ampasimpotsy,RANOMAFANA,AMPASIMPOTSY,5,10,13,4,4,1,1,13,0,0,1,4,16,21,22,21,8,1,5,2,0,0,1,3,27,7,0,0,8,4,3,0,2,1,1,3,13,9,0,9,7,9,0,4,1,0,2,7,31,31,49,1,16,2,0,0,0,0,15,22,50,30,63,,
CSB2 Ranomafana,Menarano,RANOMAFANA,MENARANO,4,11,8,3,1,14,0,0,0,0,0,1,13,20,8,10,6,14,0,0,0,0,0,0,8,2,0,0,7,5,0,0,0,1,0,2,9,5,0,7,1,2,0,0,0,1,2,2,28,11,19,8,2,3,0,0,0,1,4,19,37,11,17,,
CSB2 Ranomafana,Ranomafana,RANOMAFANA,RANOMAFANA,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,13,3,0,0,1,0,0,0,0,3,1,39,1,2,,
CSB2 Ranomafana,Sahadrazana,RANOMAFANA,SAHANDRAZANA,15,,17,5,3,2,3,4,0,0,5,19,6,39,13,34,25,2,6,0,1,2,14,16,43,0,0,0,7,14,3,11,1,9,7,5,19,18,0,14,5,4,3,2,0,,17,27,68,93,27,0,3,0,6,3,0,10,63,37,76,36,35,,
